MONTH,DAY,HI,LO,AVG,DEP,HDD,CDD,WTR,SNW,DEP,AVGSPD,MXSPD,DIR,MIN,PSBL,SS,WX,SPD,DR
DEC,1,56,27,42,7,23,0,T,0,0,12.5,20,330,M,M,9,1,25,290
DEC,2,41,23,32,-2,33,0,0.11,0.1,0,10.1,18,190,M,M,10,18,25,210
DEC,3,42,34,38,4,27,0,0.04,0,0,13.3,25,270,M,M,8,1,34,260
DEC,4,35,24,30,-4,35,0,T,T,0,8.9,22,280,M,M,6,,32,270
DEC,5,41,24,33,0,32,0,T,0,0,7.1,17,190,M,M,8,1,24,190
DEC,6,39,35,37,4,28,0,0.36,0,0,7.5,17,20,M,M,10,1,20,20
DEC,7,36,22,29,-4,36,0,0,0,0,9.9,18,40,M,M,5,,24,50
DEC,8,37,21,29,-3,36,0,0,0,0,9.8,23,160,M,M,10,,33,150
DEC,9,46,31,39,7,26,0,T,T,0,8.4,20,20,M,M,8,,23,20
DEC,10,36,28,32,0,33,0,0.79,8.7,T,13.4,22,330,M,M,9,1,28,350
DEC,11,28,25,27,-4,38,0,0.15,2.6,11,9.6,16,290,M,M,10,1,21,300
DEC,12,33,25,29,-2,36,0,T,T,8,9.2,20,300,M,M,9,1,26,300
DEC,13,36,31,34,3,31,0,0.03,0.2,7,10.1,21,260,M,M,10,1,25,270
DEC,14,38,35,37,7,28,0,0.01,0,6,5.7,13,310,M,M,10,1,15,300
DEC,15,37,35,36,6,29,0,T,0,3,3.1,9,150,M,M,10,1,12,120
DEC,16,44,35,40,10,25,0,0.29,0,2,7.3,15,200,M,M,9,1,21,210
DEC,17,44,32,38,9,27,0,0.07,0.4,T,16.4,29,260,M,M,10,1,37,260
DEC,18,33,28,31,2,34,0,0.02,T,0,13.1,21,270,M,M,10,16,29,290
DEC,19,30,25,28,-1,37,0,T,T,T,8.8,16,300,M,M,10,6,21,320
DEC,20,32,28,30,1,35,0,0,0,0,2.8,9,280,M,M,10,8,12,300
DEC,21,37,26,32,4,33,0,0,0,0,3.9,9,140,M,M,9,,11,290
DEC,22,40,27,34,6,31,0,T,0,0,7.9,14,150,M,M,7,,17,150
DEC,23,51,35,43,15,22,0,0.08,0,0,7,14,170,M,M,9,1,18,180
DEC,24,57,47,52,24,13,0,0.11,0,0,10,33,270,M,M,8,,40,280
DEC,25,52,40,46,19,19,0,0.02,0,0,22.1,41,250,M,M,8,,53,250
DEC,26,47,32,40,13,25,0,0,0,0,8.9,23,270,M,M,6,,30,270
DEC,27,55,31,43,16,22,0,0,0,0,8.5,18,210,M,M,8,,26,210
DEC,28,53,30,42,15,23,0,0.05,0,0,11.9,23,300,M,M,9,,30,260
DEC,29,32,25,29,3,36,0,T,0.1,T,6.9,17,10,M,M,8,1,19,10
DEC,30,26,20,23,-3,42,0,0.08,1.9,1,6.3,21,270,M,M,9,1,27,250
DEC,31,,,,,,,,,,,,,,,,,,
JAN,1,32,15,24,-2,41,0,0.03,0.4,3,16.7,31,230,M,M,10,189,39,230
JAN,2,32,20,26,0,39,0,T,T,1,10.9,24,270,M,M,8,,32,280
JAN,3,42,20,31,5,34,0,0.51,T,1,9.9,20,190,M,M,9,146,28,190
JAN,4,57,31,44,18,21,0,0.13,0.1,0,16.9,40,250,M,M,9,1,57,240
JAN,5,31,10,21,-4,44,0,0.01,0.3,T,18.8,31,280,M,M,5,9,43,280
JAN,6,19,12,16,-9,49,0,0.06,1,1,11.1,17,240,M,M,9,18,21,250
JAN,7,17,3,10,-15,55,0,0.09,2.3,1,16.5,31,310,M,M,8,189,41,320
JAN,8,17,3,10,-15,55,0,T,0.1,2,17,29,240,M,M,8,189,38,230
JAN,9,23,13,18,-7,47,0,0.06,1.1,2,16.6,30,260,M,M,6,19,38,260
JAN,10,17,7,12,-13,53,0,T,0.1,2,14.3,26,230,M,M,6,89,31,230
JAN,11,33,12,23,-2,42,0,T,0.1,1,7.5,18,240,M,M,9,1,24,200
JAN,12,33,18,26,1,39,0,0.24,3.4,1,8.4,21,30,M,M,10,1,28,350
JAN,13,17,0,9,-15,56,0,0.04,1,4,7.5,20,30,M,M,7,19,24,20
JAN,14,24,-9,8,-16,57,0,0,0,3,4.1,13,260,M,M,2,,16,260
JAN,15,30,5,18,-6,47,0,T,T,3,9.3,26,240,M,M,9,,36,250
JAN,16,30,4,17,-7,48,0,0.16,2.2,3,14.5,26,250,M,M,8,1289,35,310
JAN,17,34,-4,15,-9,50,0,0,0,2,7.6,23,190,M,M,5,18,32,190
JAN,18,41,33,37,13,28,0,0.02,T,2,11.5,20,260,M,M,7,,27,260
JAN,19,35,23,29,5,36,0,0.01,0.2,T,12.2,24,290,M,M,9,1,32,290
JAN,20,23,6,15,-9,50,0,0.01,0.4,1,5.8,12,290,M,M,7,1,14,300
JAN,21,25,3,14,-10,51,0,0,0,1,4.5,10,150,M,M,6,,13,150
JAN,22,30,17,24,0,41,0,0,0,1,7.2,15,260,M,M,6,,20,280
JAN,23,33,19,26,2,39,0,T,T,1,11.1,24,250,M,M,7,,31,250
JAN,24,33,17,25,1,40,0,T,0.1,1,10.2,20,260,M,M,9,168,27,260
JAN,25,34,7,21,-3,44,0,T,T,T,8.1,23,320,M,M,7,8,33,300
JAN,26,20,9,15,-9,50,0,0.14,1.8,T,9.9,15,80,M,M,10,1,19,60
JAN,27,20,2,11,-13,54,0,0.03,0.4,2,10.8,21,20,M,M,8,1,27,40
JAN,28,27,1,14,-10,51,0,0,0,2,6.8,15,310,M,M,0,,19,300
JAN,29,37,2,20,-4,45,0,0.12,1.3,2,7.2,25,220,M,M,8,1,32,230
JAN,30,31,9,20,-4,45,0,0.08,1.3,3,13.9,26,320,M,M,10,1689,33,320
JAN,31,27,0,14,-10,51,0,T,0.1,4,7,15,240,M,M,8,18,18,250
FEB,1,28,13,21,-3,44,0,0.15,2.3,4,11.9,20,70,M,M,10,19,25,70
FEB,2,19,9,14,-10,51,0,0.41,6.1,7,14.9,28,20,M,M,10,19,34,20
FEB,3,22,0,11,-14,54,0,T,T,8,10.4,24,270,M,M,5,8,29,270
FEB,4,34,20,27,2,38,0,0.12,2.4,9,11.3,20,290,M,M,10,18,25,280
FEB,5,22,2,12,-13,53,0,0.02,0.4,12,12.6,22,310,M,M,8,189,29,320
FEB,6,23,2,13,-12,52,0,0.02,0.5,12,16.9,29,250,M,M,8,89,38,260
FEB,7,30,23,27,2,38,0,0.07,0.9,12,7.6,17,250,M,M,10,1,23,240
FEB,8,25,14,20,-5,45,0,0.37,5.5,13,13.8,20,40,M,M,10,12,24,40
FEB,9,19,14,17,-8,48,0,0.32,6.5,17,11.7,22,30,M,M,10,1,26,30
FEB,10,21,13,17,-8,48,0,T,0.2,18,3.8,13,20,M,M,10,1,15,20
FEB,11,32,11,22,-4,43,0,0.06,0.8,18,4.3,17,240,M,M,9,128,21,230
FEB,12,31,4,18,-8,47,0,0.1,2.9,19,14.7,26,290,M,M,10,19,32,290
FEB,13,10,-2,4,-22,61,0,0.02,0.4,21,9.1,17,270,M,M,8,189,22,310
FEB,14,24,7,16,-10,49,0,0.05,1.5,19,13.7,22,290,M,M,9,189,29,310
FEB,15,7,-3,2,-24,63,0,0.25,4,21,15.8,26,300,M,M,9,189,37,310
FEB,16,8,-7,1,-25,64,0,0.01,0.2,17,6,17,250,M,M,8,19,20,250
FEB,17,17,-10,4,-23,61,0,0,0,16,5.8,16,270,M,M,7,,20,270
FEB,18,22,4,13,-14,52,0,0.11,2.2,15,7.6,20,260,M,M,10,1289,24,260
FEB,19,14,-1,7,-20,58,0,0.09,2.7,17,15.1,25,280,M,M,9,189,36,290
FEB,20,6,-11,-2,-29,67,0,0.04,1.1,20,11.6,22,260,M,M,4,9,28,270
FEB,21,23,-11,6,-21,59,0,0.16,1.1,18,5.7,16,190,M,M,10,9,21,190
FEB,22,29,9,19,-9,46,0,0.06,1.3,19,9.4,21,330,M,M,8,189,27,270
FEB,23,13,-7,3,-25,62,0,0.01,0.3,17,12.8,22,260,M,M,5,9,28,270
FEB,24,26,-9,9,-19,56,0,T,0.1,16,12.4,25,240,M,M,7,33,250,
FEB,25,22,10,16,-12,49,0,0.06,1.4,16,12.5,28,290,M,M,8,19,37,290
FEB,26,15,9,12,-17,53,0,0.01,0.4,16,6.1,15,40,M,M,10,1,18,40
FEB,27,14,1,8,-21,57,0,T,T,16,10.7,20,250,M,M,3,1,26,250
FEB,28,24,-2,11,-18,54,0,0,0,15,6,15,230,M,M,1,19,230,
MAR,1,29,0,15,-14,50,0,0.12,1.2,14,3.6,14,260,M,M,9,1,17,280
MAR,2,29,18,24,-6,41,0,T,0.1,14,14.3,28,270,M,M,8,189,36,280
MAR,3,40,6,23,-7,42,0,0.26,2.5,14,10.7,28,260,M,M,8,12468,39,270
MAR,4,38,24,31,1,34,0,0.06,1.7,14,13,24,260,M,M,10,19,33,260
MAR,5,24,6,15,-15,50,0,0.03,1.1,16,12.2,24,330,M,M,10,89,32,340
MAR,6,23,0,12,-19,53,0,T,T,15,8.1,17,230,M,M,5,22,230,
MAR,7,30,7,19,-12,46,0,0.07,0.8,15,9.2,22,260,M,M,10,1,31,260
MAR,8,38,27,33,2,32,0,T,0.1,15,11.2,26,270,M,M,7,18,36,270
MAR,9,43,27,35,3,30,0,T,0.1,14,10.3,17,240,M,M,4,21,260,
MAR,10,49,26,38,6,27,0,0,0,13,7.2,13,220,M,M,8,16,220,
MAR,11,45,37,41,9,24,0,0,0,11,14.9,22,250,M,M,5,18,29,260
MAR,12,37,25,31,-2,34,0,0,0,9,7.7,18,330,M,M,2,24,330,
MAR,13,50,23,37,4,28,0,0,0,8,6.5,14,130,M,M,7,17,140,
MAR,14,46,37,42,9,23,0,0.12,0,5,8.3,23,270,M,M,10,1,29,270
MAR,15,38,29,34,0,31,0,T,T,2,14.5,25,300,M,M,8,36,290,
MAR,16,53,28,41,7,24,0,T,0,1,8,25,270,M,M,9,30,270,
MAR,17,43,27,35,1,30,0,0.01,T,1,15.3,32,330,M,M,8,1,46,320
MAR,18,35,24,30,-5,35,0,0.01,0.7,1,12.9,29,300,M,M,7,18,43,280
MAR,19,37,17,27,-8,38,0,0,0,1,5.9,14,40,M,M,3,16,40,
MAR,20,43,27,35,-1,30,0,0.04,T,1,7.8,16,190,M,M,9,1,22,220
MAR,21,43,29,36,0,29,0,0.11,T,T,13,28,260,M,M,9,18,36,260
MAR,22,29,19,24,-12,41,0,0.06,1.9,2,12.6,24,310,M,M,7,1,31,290
MAR,23,26,17,22,-15,43,0,T,0.1,T,7.4,20,10,M,M,4,24,360,
MAR,24,37,14,26,-11,39,0,0,0,T,2.9,12,40,M,M,3,14,30,
MAR,25,49,22,36,-2,29,0,0.07,0,T,10.3,25,190,M,M,7,33,200,
MAR,26,45,33,39,1,26,0,0.31,0.6,T,5,14,270,M,M,10,18,18,280
MAR,27,35,23,29,-9,36,0,0.03,1.5,T,9.3,16,60,M,M,10,1,22,320
MAR,28,28,18,23,-16,42,0,0.01,0.4,2,10.9,20,350,M,M,6,1,25,320
MAR,29,44,17,31,-8,34,0,T,T,0,11.3,32,220,M,M,3,43,230,
MAR,30,45,31,38,-2,27,0,0.03,T,0,15.5,29,260,M,M,8,1,39,260
MAR,31,42,27,35,-5,30,0,0,0,0,4.7,12,20,M,M,6,15,40,